fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;19038-V 001;4;36;19038-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19038;France;19038;38, Quai de la Loire;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.884968, 2.374505
100;19040-V 001;9;65;19040-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19040;France;19040;63, Quai de la Seine;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.887823, 2.37633
100;19035-P 001;14;32;19035-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19035;France;19035;28, Rue Miguel Hidalgo;75019;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;CB;0.2;48.881214, 2.391031
100;19034-P 001;12;34;19034-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;19034;France;19034;39, Rue Mouzaïa;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.880301, 2.394213
100;19032-PM 001;10;87;19032-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19032;France;19032;27, Rue du général Brunet;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.881186, 2.391475
100;19027-PM 001;13;28;19027-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19027;France;19027;216, Rue de Crimée - face passage Crimée;75019;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.892682, 2.374799
100;18019-PM 001;12;33;18019-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18019;France;18019;40, Rue de Torcy;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.891356, 2.361747
100;13009-PM 001;13;50;13009-PM 001;c400;2018-12-22T14:00:00+01:00;;Paris;13009;France;13009;17, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.822192, 2.367952
100;19032-P 001;6;39;19032-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;19032;France;19032;27, Rue du général Brunet;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.881186, 2.391475
100;18021-PM 001;4;16;18021-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18021;France;18021;24, Rue Marcadet;75018;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.890473, 2.352731
